dumdum,Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
0,2020-01-26T00:00:00Z,CA,Canada,AMRO,1,1,0,0
1,2020-01-27T00:00:00Z,CA,Canada,AMRO,1,2,0,0
2,2020-01-28T00:00:00Z,CA,Canada,AMRO,1,3,0,0
3,2020-01-29T00:00:00Z,CA,Canada,AMRO,0,3,0,0
4,2020-01-30T00:00:00Z,CA,Canada,AMRO,0,3,0,0
5,2020-01-31T00:00:00Z,CA,Canada,AMRO,1,4,0,0
6,2020-02-01T00:00:00Z,CA,Canada,AMRO,0,4,0,0
7,2020-02-02T00:00:00Z,CA,Canada,AMRO,0,4,0,0
8,,CA,Canada,AMRO,0,4,0,0
9,2020-02-04T00:00:00Z,CA,Canada,AMRO,0,4,0,0
10,2020-02-05T00:00:00Z,CA,Canada,AMRO,1,5,0,0
11,2020-02-06T00:00:00Z,CA,Canada,AMRO,0,5,0,0
12,2020-02-07T00:00:00Z,CA,Canada,AMRO,2,7,0,0
13,2020-02-08T00:00:00Z,CA,Canada,AMRO,0,7,0,0
14,2020-02-09T00:00:00Z,CA,Canada,AMRO,0,7,0,0
15,2020-02-10T00:00:00Z,CA,Canada,AMRO,0,7,0,0
16,2020-02-11T00:00:00Z,CA,Canada,AMRO,0,7,0,0
17,2020-02-12T00:00:00Z,CA,Canada,AMRO,0,7,0,0
18,2020-02-13T00:00:00Z,CA,Canada,AMRO,0,7,0,0
19,2020-02-14T00:00:00Z,CA,Canada,AMRO,0,7,0,0
20,2020-02-15T00:00:00Z,CA,Canada,AMRO,0,7,0,0
21,2020-02-16T00:00:00Z,CA,Canada,AMRO,0,7,0,0
22,2020-02-17T00:00:00Z,CA,Canada,AMRO,1,8,0,0
23,2020-02-18T00:00:00Z,CA,Canada,AMRO,0,8,0,0
24,2020-02-19T00:00:00Z,CA,Canada,AMRO,0,8,0,0
25,2020-02-20T00:00:00Z,CA,Canada,AMRO,0,8,0,0
26,2020-02-21T00:00:00Z,CA,Canada,AMRO,0,8,0,0
27,2020-02-22T00:00:00Z,CA,Canada,AMRO,1,9,0,0
28,2020-02-23T00:00:00Z,CA,Canada,AMRO,0,9,0,0
29,2020-02-24T00:00:00Z,CA,Canada,AMRO,1,10,0,0
30,2020-02-25T00:00:00Z,CA,Canada,AMRO,0,10,0,0
31,2020-02-26T00:00:00Z,CA,Canada,AMRO,1,11,0,0
32,2020-02-27T00:00:00Z,CA,Canada,AMRO,0,11,0,0
33,2020-02-28T00:00:00Z,CA,Canada,AMRO,3,14,0,0
34,2020-02-29T00:00:00Z,CA,Canada,AMRO,0,14,0,0
35,2020-03-01T00:00:00Z,CA,Canada,AMRO,5,19,0,0
36,2020-03-02T00:00:00Z,CA,Canada,AMRO,8,27,0,0
37,2020-03-03T00:00:00Z,CA,Canada,AMRO,3,30,0,0
38,2020-03-04T00:00:00Z,CA,Canada,AMRO,0,30,0,0
39,2020-03-05T00:00:00Z,CA,Canada,AMRO,15,45,0,0
40,2020-03-06T00:00:00Z,CA,Canada,AMRO,4,49,0,0
41,2020-03-07T00:00:00Z,CA,Canada,AMRO,8,57,0,0
42,2020-03-08T00:00:00Z,CA,Canada,AMRO,3,60,0,0
43,2020-03-09T00:00:00Z,CA,Canada,AMRO,12,72,0,0
44,2020-03-10T00:00:00Z,CA,Canada,AMRO,5,77,0,0
